Time,Open,High,Low,Last,Change,%Chg,Volume
2023-03-02,650.37,658.17,646.82,655.85,5.48,+0.84%,126741548
2023-03-01,638.01,653.82,636.31,650.37,12.36,+1.94%,144209187
2023-02-28,647.35,652.72,637.51,638.01,-9.34,-1.44%,198633082
2023-02-27,645.32,649.74,641.64,647.35,2.03,+0.31%,144380577
2023-02-24,645.39,646.29,633.5,645.32,-0.07,-0.01%,166210814
2023-02-23,637.29,649.82,637.29,645.39,8.1,+1.27%,148950898
2023-02-22,642.23,645.42,631.78,637.29,-4.94,-0.77%,159173559
2023-02-21,644.2,648.63,640.46,642.23,-1.97,-0.31%,157132830
2023-02-17,668.58,668.58,641.76,644.2,-24.38,-3.65%,230404729
2023-02-16,675.54,677.37,667.96,668.58,-6.96,-1.03%,153654985
2023-02-15,687.78,687.78,666.89,675.54,-12.24,-1.78%,202758209
2023-02-14,687.91,692.8,680.63,687.78,-0.13,-0.02%,126588766
2023-02-13,692.1,692.1,679.37,687.91,-4.19,-0.61%,129924114
2023-02-10,665.97,693.42,665.97,692.1,26.13,+3.92%,175863865
2023-02-09,670.76,673.9,665.44,665.97,-4.79,-0.71%,141191647
2023-02-08,676.54,680.19,667.31,670.76,-5.78,-0.85%,143635886
2023-02-07,656.34,677.92,656.34,676.54,20.2,+3.08%,149269236
2023-02-06,658.95,664.19,648.1,656.34,-2.61,-0.40%,148021308
2023-02-03,660.47,673.79,657.96,658.95,-1.52,-0.23%,170803191
2023-02-02,677.53,677.53,653.18,660.47,-17.06,-2.52%,192909980
2023-02-01,690.59,690.75,668.31,677.53,-13.06,-1.89%,186342126
2023-01-31,684.53,691.97,674.88,690.59,6.06,+0.89%,168707988
2023-01-30,700.58,700.58,683.33,684.53,-16.05,-2.29%,136560873
2023-01-27,714.77,714.77,699.39,700.58,-14.19,-1.99%,143289866
2023-01-26,691.78,714.94,691.78,714.77,22.99,+3.32%,156928486
2023-01-25,692.41,692.41,677.85,691.78,-0.63,-0.09%,135699729
2023-01-24,693.91,693.91,674.45,692.41,-1.5,-0.22%,132249232
2023-01-23,695.32,702.4,692.25,693.91,-1.41,-0.20%,143941690
2023-01-20,686.38,696.12,681.83,695.32,8.94,+1.30%,155873933
2023-01-19,678.87,689.62,673.12,686.38,7.51,+1.11%,145876186
2023-01-18,691.07,702.37,678.14,678.87,-12.2,-1.77%,162836920
2023-01-17,690.21,698.63,688.75,691.07,0.86,+0.12%,132150885
2023-01-13,689.26,691.95,681.5,690.21,0.95,+0.14%,105943027
2023-01-12,676.61,693.53,676.61,689.26,12.65,+1.87%,150233716
2023-01-11,674.21,681.38,669.01,676.61,2.4,+0.36%,144061018
2023-01-10,669.19,675.51,663.96,674.21,5.02,+0.75%,128082160
2023-01-09,672.35,682.95,667.17,669.19,-3.16,-0.47%,162646380
2023-01-06,661.25,680.83,661.25,672.35,11.1,+1.68%,140554503
2023-01-05,648.34,664.38,647.46,661.25,12.91,+1.99%,147204707
2023-01-04,647.97,652.14,636.34,648.34,0.37,+0.06%,155197729
2023-01-03,672.34,672.34,640.55,647.97,-24.37,-3.62%,147124758
2022-12-30,667.27,673.25,664.62,672.34,5.07,+0.76%,96876739
2022-12-29,660.95,670.26,658.3,667.27,6.32,+0.96%,89610568
2022-12-28,675.96,675.96,658.54,660.95,-15.01,-2.22%,107995960
2022-12-27,668.33,678.27,668.33,675.96,7.63,+1.14%,104760531
2022-12-23,647.84,668.4,647.84,668.33,20.49,+3.16%,116864243
2022-12-22,663.17,663.91,634.8,647.84,-15.33,-2.31%,135888134
2022-12-21,650.86,665.98,650.86,663.17,12.31,+1.89%,129378188
2022-12-20,641.14,654.84,640.92,650.86,9.72,+1.52%,137078623
2022-12-19,640.28,649.22,636.12,641.14,0.86,+0.13%,128668847
2022-12-16,648.88,648.88,632.07,640.28,-8.6,-1.33%,419429770
2022-12-15,652.33,652.33,637.53,648.88,-3.45,-0.53%,156536075
2022-12-14,656.54,663.48,646.95,652.33,-4.21,-0.64%,163357803
2022-12-13,645.12,662.42,645.12,656.54,11.42,+1.77%,195709561
2022-12-12,629.47,646.46,629.47,645.12,15.65,+2.49%,182268694
2022-12-09,644.46,649.23,628.81,629.47,-14.99,-2.33%,191402415
2022-12-08,647.47,662.75,640.84,644.46,-3.01,-0.46%,179610130
2022-12-07,649.35,657.26,641.87,647.47,-1.88,-0.29%,171727254
2022-12-06,667.01,670.24,644.87,649.35,-17.66,-2.65%,171235670
2022-12-05,687.2,696.46,661.69,667.01,-20.19,-2.94%,170266110
2022-12-02,691.37,695.33,683.33,687.2,-4.17,-0.60%,139349106
2022-12-01,694.3,701.73,689.47,691.37,-2.93,-0.42%,131799746
2022-11-30,690.53,699.6,683.54,694.3,3.77,+0.55%,256839154
2022-11-29,681.81,695.28,681.81,690.53,8.72,+1.28%,142535586
2022-11-28,701,701,679.16,681.81,-19.19,-2.74%,170810078
2022-11-25,703.13,708.8,699.95,701,-2.13,-0.30%,60282315
2022-11-23,711.39,711.39,696.1,703.13,-8.26,-1.16%,129317667
2022-11-22,689.46,713.05,689.46,711.39,21.93,+3.18%,171090326
2022-11-21,699.19,699.19,666.73,689.46,-9.73,-1.39%,200807060
2022-11-18,705.52,705.52,684.14,699.19,-6.33,-0.90%,175056175
2022-11-17,704.68,706.02,689.82,705.52,0.84,+0.12%,131468798
2022-11-16,720.16,720.16,700.99,704.68,-15.48,-2.15%,149329963
2022-11-15,712.28,721.49,710.84,720.16,7.88,+1.11%,162614339
2022-11-14,716.02,724.74,711.96,712.28,-3.74,-0.52%,163667596
2022-11-11,694.74,718.54,694.74,716.02,21.28,+3.06%,192963885
2022-11-10,679.63,695.34,678.91,694.74,15.11,+2.22%,176405707
2022-11-09,714.51,714.51,678.01,679.63,-34.88,-4.88%,204139672
2022-11-08,714.13,717.95,706.17,714.51,0.38,+0.05%,165236527
2022-11-07,701.99,716.53,701.99,714.13,12.14,+1.73%,184394289
2022-11-04,694.92,715.07,692.65,701.99,7.07,+1.02%,211200049
2022-11-03,681.01,698.73,676.26,694.92,13.91,+2.04%,188843039
2022-11-02,696.69,698.39,679.4,681.01,-15.68,-2.25%,215370839
2022-11-01,689.83,701.18,689.83,696.69,6.86,+0.99%,179958348
2022-10-31,685.71,699.92,679.49,689.83,4.12,+0.60%,201500606
2022-10-28,681.19,695.24,672.91,685.71,4.52,+0.66%,182345179
2022-10-27,679.34,693.55,679.34,681.19,1.85,+0.27%,190413999
2022-10-26,670.22,684.81,670.22,679.34,9.12,+1.36%,186067115
2022-10-25,670.52,673.99,664.5,670.22,-0.3,-0.04%,185708762
2022-10-24,667.35,675.03,663.71,670.52,3.17,+0.48%,185238426
2022-10-21,649.41,668.57,649.41,667.35,17.94,+2.76%,225110406
2022-10-20,648.23,659.79,646.08,649.41,1.18,+0.18%,198495301
2022-10-19,629.74,650.73,629.74,648.23,18.49,+2.94%,193663507
2022-10-18,625.03,636.23,618.05,629.74,4.71,+0.75%,160473264
2022-10-17,617.48,635.66,617.48,625.03,7.55,+1.22%,154515503
2022-10-14,641.24,643.16,616.85,617.48,-23.76,-3.71%,168045533
2022-10-13,616.12,643.74,609.74,641.24,25.12,+4.08%,200465509
2022-10-12,611.54,620.12,603.77,616.12,4.58,+0.75%,148230853
2022-10-11,616.18,622.04,602.21,611.54,-4.64,-0.75%,172347561
2022-10-10,629.14,636.74,614.32,616.18,-12.96,-2.06%,163972901
2022-10-07,633.72,642.46,624.55,629.14,-4.58,-0.72%,220028692
2022-10-06,622.39,635.43,617.75,633.72,11.33,+1.82%,203713941
2022-10-05,609.84,627,604.78,622.39,12.55,+2.06%,244103885
2022-10-04,584.45,610.05,584.45,609.84,25.39,+4.34%,220024435
2022-10-03,552.56,587.55,552.56,584.45,31.89,+5.77%,217526897
2022-09-30,557.6,560.63,547.96,552.56,-5.04,-0.90%,200548094
2022-09-29,558.34,558.95,543.94,557.6,-0.74,-0.13%,191295329
2022-09-28,534.79,560.48,534.79,558.34,23.55,+4.40%,200787073
2022-09-27,528.64,544.64,528.64,534.79,6.15,+1.16%,203258323
